Total Pb(NO3)2 (mL),pPb,pH
0.5,6.11,4.74
1,5.68,4.48
1.5,5.24,4.23
2,5.05,3.96
2.5,4.75,3.81
3,4.63,3.73
3.5,4.48,3.69
4,4.46,3.65
4.5,4.38,3.62
5,4.35,3.6
5.5,4.31,3.58
6,4.29,3.56
6.5,4.3,3.54
7,4.28,3.52
7.5,4.27,3.51
8,4.28,3.49
8.5,4.25,3.48
9,4.24,3.47
9.5,4.21,3.46
10,4.2,3.46
