Total Pb(NO3)2 (mL),pPb,pH
0.5,4.448436381,4.76
1,4.266743588,4.67
1.5,4.277353386,4.6
2,4.185843877,4.52
2.5,4.114227739,4.46
3,4.041285377,4.41
3.5,4.018739556,4.36
4,4.002824859,4.31
4.5,3.990888836,4.27
5,3.976300363,4.24
5.5,3.963038116,4.2
6,3.947123418,4.17
6.5,3.944470969,4.14
7,3.927230047,4.12
7.5,3.916620249,4.09
8,3.903358001,4.07
8.5,3.894074428,4.05
9,3.906010451,4.02
9.5,3.886117079,4
10,3.874181056,3.98
