Total Pb(NO3)2 (mL),pPb,pH
0.5,5.83566749,5.01
1,5.12613724,4.69
1.5,4.16992918,4.34
2,3.87418106,4.01
2.5,3.71105541,3.83
3,3.54925599,3.73
3.5,3.496207,3.66
4,3.63413437,3.62
4.5,3.56649691,3.59
5,3.53864619,3.57
5.5,3.49753322,3.55
6,3.4590727,3.54
6.5,3.45642025,3.52
7,3.46570383,3.5
7.5,3.45111536,3.49
8,3.53334129,3.48
8.5,3.52273149,3.47
9,3.51477414,3.46
9.5,3.51212169,3.45
10,3.50018567,3.44
