Carboxymethyl cellulose				K=([Pb–OOC][H+])/([Pb2+][–COOH])					
Total Pb(NO3)2 (mL)	pPb	pH		[Pb–OOC]	[H+]	[Pb2+] Activity	[Pb2+] conc	[–COOH]	K
2.5	3.71105541	3.83		0.0009596847916	0.0001479108388	0.0001945111896	0.0002903152084	0.007260315208	0.06734468859
3	3.54925599	3.73		0.001078624571	0.0001862087137	0.0002823215372	0.0004213754286	0.007141375429	0.06674507681
3.5	3.496207	3.66		0.001273878057	0.0002187761624	0.0003190017019	0.0004761219431	0.006946121943	0.08426888666
4	3.63413437	3.62		0.001653430111	0.0002398832919	0.0002322018257	0.000346569889	0.006566569889	0.1742835687
4.5	3.56649691	3.59		0.001845024932	0.0002570395783	0.0002713332957	0.0004049750683	0.006374975068	0.1836942073
5	3.53864619	3.57		0.00206820361	0.0002691534804	0.0002893035814	0.0004317963902	0.00615179639	0.2095619021
5.5	3.49753322	3.55		0.002275329789	0.0002818382931	0.0003180290413	0.0004746702108	0.005944670211	0.2272608407
6	3.4590727	3.54		0.002481376135	0.0002884031503	0.0003474779895	0.0005186238649	0.005738623865	0.2404541869
6.5	3.45642025	3.52		0.002728198952	0.000301995172	0.0003496067024	0.0005218010483	0.005491801048	0.2875122112
7	3.46570383	3.50		0.002989234721	0.000316227766	0.0003422127372	0.0005107652794	0.005230765279	0.3538127006
7.5	3.45111536	3.49		0.003221786086	0.0003235936569	0.0003539033226	0.0005282139143	0.004998213914	0.3948862621
8	3.53334129	3.48		0.003562896879	0.0003311311215	0.000292859091	0.0004371031209	0.004657103121	0.5795667889
8.5	3.52273149	3.47		0.003802086959	0.0003388441561	0.0003001017376	0.0004479130412	0.004417913041	0.6510452504
9	3.51477414	3.46		0.004043804437	0.0003467368505	0.0003056510274	0.0004561955633	0.004176195563	0.735966861
9.5	3.51212169	3.45		0.0042910097	0.0003548133892	0.0003075235008	0.0004589902997	0.0039289903	0.8442577041
10	3.50018567	3.44		0.004528219999	0.0003630780548	0.0003160926009	0.0004717800014	0.003691780001	0.943956928
